2;WITHDRAW;2018-04-09;12:42:16.648;10000.0
2;WITHDRAW;2018-04-09;12:42:16.648;20000.0
1;DEPOSIT;2018-04-20;22:21:06.377;10000.0
1;WITHDRAW;2018-04-20;22:47:48.733;1000.0
1;DEPOSIT;2018-04-20;22:50:17.704;1000.0
1;DEPOSIT;2018-04-20;23:02:41.799;5000.0
1;DEPOSIT;2018-04-20;23:05:52.657;5000.0
1;DEPOSIT;2018-04-20;23:05:52.657;-100.0
2;DEPOSIT;2018-04-20;23:05:52.657;100.0
2;DEPOSIT;2018-04-20;23:05:52.657;100.0
2;DEPOSIT;2018-04-20;23:05:52.657;-100.0
2;DEPOSIT;2018-04-20;23:05:52.657;-100.0
2;DEPOSIT;2018-04-20;23:05:52.657;-100.0
1;DEPOSIT;2018-04-20;23:07:26.830;500.0
1;DEPOSIT;2018-04-20;23:07:26.830;-500.0
1;DEPOSIT;2018-04-20;23:07:26.830;-500.0
1;WITHDRAW;2018-04-20;23:07:26.830;500.0
1;WITHDRAW;2018-04-20;23:07:26.830;500.0
1;DEPOSIT;2018-04-20;23:16:57.021;500.0
1;WITHDRAW;2018-04-20;23:16:57.021;500.0
1;WITHDRAW;2018-04-20;23:16:57.021;0.0
1;DEPOSIT;2018-04-20;23:16:57.021;0.0
1;DEPOSIT;2018-04-20;23:21:06.328;100.0
1;DEPOSIT;2018-04-21;00:55:57.417;10000.0
1;WITHDRAW;2018-04-21;00:55:57.417;600.0
